Description	enabled	numinputs	min difficulty	expansion	start day	stop day	day of week	playerclass	require a	code a	number of a	modifier a	param1 a	param2 a	sockets a	gem 1 a	gem 2 a	gem 3 a	gem 4 a	gem 5 a	gem 6 a	require b	code b	number of b	modifier b	param1 b	param2 b	sockets b	gem 1 b	gem 2 b	gem 3 b	gem 4 b	gem 5 b	gem 6 b	require c	code c	number of c	modifier c	param1 c	param2 c	sockets c	gem 1 c	gem 2 c	gem 3 c	gem 4 c	gem 5 c	gem 6 c	require d	code d	number of d	modifier d	param1 d	param2 d	sockets d	gem 1 d	gem 2 d	gem 3 d	gem 4 d	gem 5 d	gem 6 d	require e	code e	number of e	modifier e	param1 e	param2 e	sockets e	gem 1 e	gem 2 e	gem 3 e	gem 4 e	gem 5 e	gem 6 e	require f	code f	number of f	modifier f	param1 f	param2 f	sockets f	gem 1 f	gem 2 f	gem 3 f	gem 4 f	gem 5 f	gem 6 f	require g	code g	number of g	modifier g	param1 g	param 2 g	gem 1 g	gem 2 g	gem 3 g	gem 4 g	gem 5 g	gem 6 g	function	product a	product code a	mods a	uses a	fixedlevel a	playerlevel pct a	itemlevel pct a	pmod1a	pmod2a	psocketsa	mod1a	mod1achance	mod1aparam	mod1amin	mod1amax	mod2a	mod2achance	mod2aparam	mod2amin	mod2amax	mod3a	mod3achance	mod3aparam	mod3amin	mod3amax	mod4a	mod4achance	mod4aparam	mod4amin	mod4amax	mod5a	mod5achance	mod5aparam	mod5amin	mod5amax	product b	product code b	mods b	uses b	fixedlevel b	playerlevel pct b	itemlevel pct b	pmod1b	pmod2b	psocketsb	mod1b	mod1bchance	mod1bparam	mod1bmin	mod1bmax	mod2b	mod2bchance	mod2bparam	mod2bmin	mod2bmax	mod3b	mod3bchance	mod3bparam	mod3bmin	mod3bmax	mod4b	mod4bchance	mod4bparam	mod4bmin	mod4bmax	mod5b	mod5bchance	mod5bparam	mod5bmin	mod5bmax
amu + jew + r06 + r14 -> crf ama amu 1	0	4	0	1	0	0	0	ama	itm	amu	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r06	1		0	0	0							itm	r14	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	amu	0	0	0	75	75	crf		0	swing1		0	1	1						ama	40		1	1											0		0	0	0	0	0			0																				0					0
amu + jew + r06 + r14 + r16 -> crf ama amu 2	0	5	1	1	0	0	0	ama	itm	amu	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r06	1		0	0	0							itm	r14	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	amu	0	0	0	75	75	crf		0	swing1		0	1	2						ama	33		1	1	ama	33		1	1						0		0	0	0	0	0			0																				0					0
amu + jew + r07 + r14 -> crf nec amu 1	0	4	0	1	0	0	0	nec	itm	amu	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r07	1		0	0	0							itm	r14	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	amu	0	0	0	75	75	crf		0	mana%		0	5	10						nec	40		1	1											0		0	0	0	0	0			0																				0					0
amu + jew + r07 + r14 + r16 -> crf nec amu 2	0	5	1	1	0	0	0	nec	itm	amu	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r07	1		0	0	0							itm	r14	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	amu	0	0	0	75	75	crf		0	mana%		0	5	20						nec	33		1	1	nec	33		1	1						0		0	0	0	0	0			0																				0					0
plt + jew + r01 + r13 -> crf ass body 1	0	4	0	1	0	0	0	ass	itm	plt	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r01	1		0	0	0							itm	r13	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	plt	0	0	0	75	75	crf		0	enr/lvl		3	0	0	ac		0	20	40	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
ult + jew + r01 + r13 + r16 -> crf ass body 2	0	5	1	1	0	0	0	ass	itm	ult	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r01	1		0	0	0							itm	r13	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	ult	0	0	0	75	75	crf		0	enr/lvl		6	0	0	ac		0	20	120	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
gth + jew + r02 + r13 -> crf dru body 1	0	4	0	1	0	0	0	dru	itm	gth	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r02	1		0	0	0							itm	r13	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	gth	0	0	0	75	75	crf		0	res-cold		0	6	15	ac		0	20	40	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
uth + jew + r02 + r13 + r16 -> crf dru body 2	0	5	1	1	0	0	0	dru	itm	uth	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r02	1		0	0	0							itm	r13	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	uth	0	0	0	75	75	crf		0	res-cold		0	10	30	ac		0	20	120	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
ltp + jew + r03 + r13 -> crf sor body 1	0	4	0	1	0	0	0	sor	itm	ltp	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r03	1		0	0	0							itm	r13	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	ltp	0	0	0	75	75	crf		0	str/lvl		2	0	0	ac		0	20	40	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
utp + jew + r03 + r13 + r16 -> crf sor body 2	0	5	1	1	0	0	0	sor	itm	utp	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r03	1		0	0	0							itm	r13	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	utp	0	0	0	75	75	crf		0	str/lvl		4	0	0	ac		0	20	120	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
ful + jew + r04 + r13 -> crf pal body 1	0	4	0	1	0	0	0	pal	itm	ful	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r04	1		0	0	0							itm	r13	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	ful	0	0	0	75	75	crf		0	att/lvl		2	0	0	ac		0	20	40	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
uul + jew + r04 + r13 + r16 -> crf pal body 2	0	5	1	1	0	0	0	pal	itm	uul	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r04	1		0	0	0							itm	r13	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	uul	0	0	0	75	75	crf		0	att/lvl		3	0	0	ac		0	20	120	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
aar + jew + r05 + r13 -> crf bar body 1	0	4	0	1	0	0	0	bar	itm	aar	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r05	1		0	0	0							itm	r13	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	aar	0	0	0	75	75	crf		0	ac%/lvl		2	0	0	ac		0	20	40	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
uar + jew + r05 + r13 + r16 -> crf bar body 2	0	5	1	1	0	0	0	bar	itm	uar	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r05	1		0	0	0							itm	r13	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	uar	0	0	0	75	75	crf		0	ac%/lvl		4	0	0	ac		0	20	120	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
fld + jew + r06 + r13 -> crf ama body 1	0	4	0	1	0	0	0	ama	itm	fld	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r06	1		0	0	0							itm	r13	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	fld	0	0	0	75	75	crf		0	ac/lvl		3	0	0	ac		0	20	40	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
uld + jew + r06 + r13 + r16 -> crf ama body 2	0	5	1	1	0	0	0	ama	itm	uld	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r06	1		0	0	0							itm	r13	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	uld	0	0	0	75	75	crf		0	ac/lvl		6	0	0	ac		0	20	120	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
chn + jew + r07 + r13 -> crf nec body 1	0	4	0	1	0	0	0	nec	itm	chn	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r07	1		0	0	0							itm	r13	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	chn	0	0	0	75	75	crf		0	dex/lvl		2	0	0	ac		0	20	40	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
uhn + jew + r07 + r13 + r16 -> crf nec body 2	0	5	1	1	0	0	0	nec	itm	uhn	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r07	1		0	0	0							itm	r13	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	uhn	0	0	0	75	75	crf		0	dex/lvl		2	0	0	ac		0	20	120	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
fhl + jew + r01 + r12 -> crf ass fhl 1	0	4	0	1	0	0	0	ass	itm	fhl	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r01	1		0	0	0							itm	r12	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	fhl	0	0	0	75	75	crf		0	mana		0	10	35	ac		0	10	25	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
xhl + jew + r01 + r12 + r16 -> crf ass xhl 2	0	5	1	1	0	0	0	ass	itm	xhl	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r01	1		0	0	0							itm	r12	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	xhl	0	0	0	75	75	crf		0	mana		0	10	70	ac		0	10	75	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
ghm + jew + r02 + r12 -> crf dru ghm 1	0	4	0	1	0	0	0	dru	itm	ghm	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r02	1		0	0	0							itm	r12	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	ghm	0	0	0	75	75	crf		0	hp		0	10	35	ac		0	10	25	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
xhx + jew + r02 + r12 + r16 -> crf dru xhx 2	0	5	1	1	0	0	0	dru	itm	xhx	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r02	1		0	0	0							itm	r12	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	xhx	0	0	0	75	75	crf		0	hp		0	10	70	ac		0	10	75	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
crn + jew + r03 + r12 -> crf sor crn 1	0	4	0	1	0	0	0	sor	itm	crn	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r03	1		0	0	0							itm	r12	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	crn	0	0	0	75	75	crf		0	cast1		0	1	1	ac		0	10	25	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
xrn + jew + r03 + r12 + r16 -> crf sor xrn 2	0	5	1	1	0	0	0	sor	itm	xrn	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r03	1		0	0	0							itm	r12	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	xrn	0	0	0	75	75	crf		0	cast1		0	1	2	ac		0	10	75	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
msk + jew + r04 + r12 -> crf pal msk 1	0	4	0	1	0	0	0	pal	itm	msk	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r04	1		0	0	0							itm	r12	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	msk	0	0	0	75	75	crf		0	red-dmg		0	1	4	ac		0	10	25	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
xsk + jew + r04 + r12 + r16 -> crf pal xsk 2	0	5	1	1	0	0	0	pal	itm	xsk	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r04	1		0	0	0							itm	r12	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	xsk	0	0	0	75	75	crf		0	red-dmg		0	1	8	ac		0	10	75	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
cap + jew + r05 + r12 -> crf bar cap 1	0	4	0	1	0	0	0	bar	itm	cap	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r05	1		0	0	0							itm	r12	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	cap	0	0	0	75	75	crf		0	abs-ltng%		0	1	5	ac		0	10	25	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
xap + jew + r05 + r12 + r16 -> crf bar xap 2	0	5	1	1	0	0	0	bar	itm	xap	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r05	1		0	0	0							itm	r12	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	xap	0	0	0	75	75	crf		0	abs-ltng%		0	1	10	ac		0	10	75	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
skp + jew + r06 + r12 -> crf ama skp 1	0	4	0	1	0	0	0	ama	itm	skp	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r06	1		0	0	0							itm	r12	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	skp	0	0	0	75	75	crf		0	swing1		0	1	1	ac		0	10	25	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
xkp + jew + r06 + r12 + r16 -> crf ama xkp 2	0	5	1	1	0	0	0	ama	itm	xkp	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r06	1		0	0	0							itm	r12	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	xkp	0	0	0	75	75	crf		0	swing1		0	1	2	ac		0	10	75	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
hlm + jew + r07 + r12 -> crf nec hlm 1	0	4	0	1	0	0	0	nec	itm	hlm	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r07	1		0	0	0							itm	r12	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	hlm	0	0	0	75	75	crf		0	ac-miss		0	5	12	ac		0	10	25	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
xlm + jew + r07 + r12 + r16 -> crf nec xlm 2	0	5	1	1	0	0	0	nec	itm	xlm	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r07	1		0	0	0							itm	r12	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	xlm	0	0	0	75	75	crf		0	ac-miss		0	5	25	ac		0	10	75	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
lbt + jew + r01 + r09 -> crf ass lbt 1	0	4	0	1	0	0	0	ass	itm	lbt	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r01	1		0	0	0							itm	r09	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	lbt	0	0	0	75	75	crf		0	knock		0	1	1	ac		0	5	10	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
ulb + jew + r01 + r09 + r16 -> crf ass ulb 2	0	5	1	1	0	0	0	ass	itm	ulb	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r01	1		0	0	0							itm	r09	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	ulb	0	0	0	75	75	crf		0	knock		0	1	2	ac		0	5	30	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
lbt + jew + r02 + r09 -> crf dru lbt 1	0	4	0	1	0	0	0	dru	itm	lbt	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r02	1		0	0	0							itm	r09	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	lbt	0	0	0	75	75	crf		0	abs-ltng%		0	2	5	ac		0	5	10	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
ulb + jew + r02 + r09 + r16 -> crf dru ulb 2	0	5	1	1	0	0	0	dru	itm	ulb	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r02	1		0	0	0							itm	r09	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	ulb	0	0	0	75	75	crf		0	abs-ltng%		0	2	10	ac		0	5	30	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
mbt + jew + r03 + r09 -> crf sor mbt 1	0	4	0	1	0	0	0	sor	itm	mbt	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r03	1		0	0	0							itm	r09	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	mbt	0	0	0	75	75	crf		0	pierce-cold		0	5	10	ac		0	5	10	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
umb + jew + r03 + r09 + r16 -> crf sor umb 2	0	5	1	1	0	0	0	sor	itm	umb	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r03	1		0	0	0							itm	r09	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	umb	0	0	0	75	75	crf		0	pierce-cold		0	5	20	ac		0	5	30	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
mbt + jew + r04 + r09 -> crf pal mbt 1	0	4	0	1	0	0	0	pal	itm	mbt	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r04	1		0	0	0							itm	r09	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	mbt	0	0	0	75	75	crf		0	ac-miss		0	5	12	ac		0	5	10	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
umb + jew + r04 + r09 + r16 -> crf pal umb 2	0	5	1	1	0	0	0	pal	itm	umb	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r04	1		0	0	0							itm	r09	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	umb	0	0	0	75	75	crf		0	ac-miss		0	5	25	ac		0	5	30	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
vbt + jew + r05 + r09 -> crf bar vbt 1	0	4	0	1	0	0	0	bar	itm	vbt	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r05	1		0	0	0							itm	r09	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	vbt	0	0	0	75	75	crf		0	abs-fire%		0	2	5	ac		0	5	10	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
uvb + jew + r05 + r09 + r16 -> crf bar uvb 2	0	5	1	1	0	0	0	bar	itm	uvb	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r05	1		0	0	0							itm	r09	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	uvb	0	0	0	75	75	crf		0	abs-fire%		0	2	10	ac		0	5	30	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
vbt + jew + r06 + r09 -> crf ama vbt 1	0	4	0	1	0	0	0	ama	itm	vbt	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r06	1		0	0	0							itm	r09	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	vbt	0	0	0	75	75	crf		0	balance1		0	1	1	ac		0	5	10	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
uvb + jew + r06 + r09 + r16 -> crf ama uvb 2	0	5	1	1	0	0	0	ama	itm	uvb	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r06	1		0	0	0							itm	r09	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	uvb	0	0	0	75	75	crf		0	balance1		0	1	2	ac		0	5	30	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
hbt + jew + r07 + r09 -> crf nec hbt 1	0	4	0	1	0	0	0	nec	itm	hbt	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r07	1		0	0	0							itm	r09	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	hbt	0	0	0	75	75	crf		0	pierce-pois		0	5	10	ac		0	5	10	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
uhb + jew + r07 + r09 + r16 -> crf nec uhb 2	0	5	1	1	0	0	0	nec	itm	uhb	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r07	1		0	0	0							itm	r09	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	uhb	0	0	0	75	75	crf		0	pierce-pois		0	5	20	ac		0	5	30	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
hgl + jew + r01 + r10 -> crf ass hgl 1	0	4	0	1	0	0	0	ass	itm	hgl	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r01	1		0	0	0							itm	r10	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	hgl	0	0	0	75	75	crf		0	ac-miss		0	6	12	ac		0	5	10	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
uhg + jew + r01 + r10 + r16 -> crf ass uhg 2	0	5	1	1	0	0	0	ass	itm	uhg	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r01	1		0	0	0							itm	r10	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	uhg	0	0	0	75	75	crf		0	ac-miss		0	6	25	ac		0	5	30	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
mgl + jew + r02 + r10 -> crf dru mgl 1	0	4	0	1	0	0	0	dru	itm	mgl	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r02	1		0	0	0							itm	r10	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	mgl	0	0	0	75	75	crf		0	abs-fire%		0	2	5	ac		0	5	10	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
umg + jew + r02 + r10 + r16 -> crf dru umg 2	0	5	1	1	0	0	0	dru	itm	umg	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r02	1		0	0	0							itm	r10	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	umg	0	0	0	75	75	crf		0	abs-fire%		0	2	10	ac		0	5	30	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
lgl + jew + r03 + r10 -> crf sor lgl 1	0	4	0	1	0	0	0	sor	itm	lgl	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r03	1		0	0	0							itm	r10	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	lgl	0	0	0	75	75	crf		0	pierce-ltng		0	5	20	ac		0	5	10	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
ulg + jew + r03 + r10 + r16 -> crf sor ulg 2	0	5	1	1	0	0	0	sor	itm	ulg	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r03	1		0	0	0							itm	r10	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	ulg	0	0	0	75	75	crf		0	pierce-ltng		0	5	40	ac		0	5	30	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
mgl + jew + r04 + r10 -> crf pal mgl 1	0	4	0	1	0	0	0	pal	itm	mgl	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r04	1		0	0	0							itm	r10	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	mgl	0	0	0	75	75	crf		0	abs-ltng%		0	2	5	ac		0	5	10	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
umg + jew + r04 + r10 + r16 -> crf pal umg 2	0	5	1	1	0	0	0	pal	itm	umg	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r04	1		0	0	0							itm	r10	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	umg	0	0	0	75	75	crf		0	abs-ltng%		0	2	10	ac		0	5	30	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
lgl + jew + r05 + r10 -> crf bar lgl 1	0	4	0	1	0	0	0	bar	itm	lgl	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r05	1		0	0	0							itm	r10	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	lgl	0	0	0	75	75	crf		0	res-cold		0	2	15	ac		0	5	10	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
ulg + jew + r05 + r10 + r16 -> crf bar ulg 2	0	5	1	1	0	0	0	bar	itm	ulg	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r05	1		0	0	0							itm	r10	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	ulg	0	0	0	75	75	crf		0	res-cold		0	6	25	ac		0	5	30	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
vgl + jew + r06 + r10 -> crf ama vgl 1	0	4	0	1	0	0	0	ama	itm	vgl	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r06	1		0	0	0							itm	r10	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	vgl	0	0	0	75	75	crf		0	swing1		0	1	2	ac		0	5	10	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
uvg + jew + r06 + r10 + r16 -> crf ama uvg 2	0	5	1	1	0	0	0	ama	itm	uvg	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r06	1		0	0	0							itm	r10	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	uvg	0	0	0	75	75	crf		0	swing1		0	1	3	ac		0	5	30	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
vgl + jew + r07 + r10 -> crf nec vgl 1	0	4	0	1	0	0	0	nec	itm	vgl	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r07	1		0	0	0							itm	r10	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	vgl	0	0	0	75	75	crf		0	pierce-pois		0	5	10	ac		0	5	10	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
uvg + jew + r07 + r10 + r16 -> crf nec uvg 2	0	5	1	1	0	0	0	nec	itm	uvg	1	rar	0	0	0							itm	jew	1		0	0	0							itm	r07	1		0	0	0							itm	r10	1		0	0	0							itm	r16	1		0	0	0									0		0	0	0									0		0	0							0	1	uvg	0	0	0	75	75	crf		0	pierce-pois		0	5	20	ac		0	5	30	ease		0	-5	-50	ac%		0	20	101						0		0	0	0	0	0			0																				0					0
lbl + jew + r01 + r11 -> crf ass lbl 1	0	4	0	1	0	0	0	ass	itm	lbl	1	mag	0	0	0							itm	jew	1		0	0	0							itm	r01	1		0	0	0							itm	r11	1		0	0	0									0		0	0	0									0		0	0	0									0		0	0							0	1	lbl	0	0	0	75	75	crf		0	ac-hth		0	5	12	ac		0	5	10	ease		0	-5	-25	ac%		0	10	36						0		0	0	0	0	0			0																				0					0
