Name	Token	DT_Dir	NU_Dir	WL_Dir	GH_Dir	A1_Dir	A2_Dir	BL_Dir	SC_Dir	S1_Dir	S2_Dir	S3_Dir	S4_Dir	DD_Dir	KB_Dir	SQ_Dir	RN_Dir
trappoisonnova	9A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
trapchainlightning	9A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
xxx	GU	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
InvisoSpawner	K9	1	1	8	8	1	8	8	8	1	8	8	8	1	8	8	8
DiabloClone	xx	1	8	8	8	8	8	8	8	8	8	8	8	1	8	8	8
suckernest	DH	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
suckernest	DH	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
suckernest	DH	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
suckernest	DH	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
guard	GU	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
spider	LS	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
prison	67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
prison	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
prison	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
prison	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Bonewall	BW	4	4	1	4	1	1	1	1	4	1	1	1	4	1	1	1
HighPriest1	HP	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
HighPriest1	HP	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
HighPriest1	HP	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Turret	PB	16	16	8	8	16	8	8	8	8	8	8	8	16	8	8	8
Turret	PB	16	16	8	8	16	8	8	8	8	8	8	8	16	8	8	8
Turret	PB	16	16	8	8	16	8	8	8	8	8	8	8	16	8	8	8
Hydra	HX	8	8	8	8	8	8	8	8	8	8	8	8	1	8	8	8
Hydra	21	8	8	8	8	8	8	8	8	8	8	8	8	1	8	8	8
Hydra	HZ	8	8	8	8	8	8	8	8	8	8	8	8	1	8	8	8
Column	M4	1	1	8	8	1	8	8	8	8	8	8	8	1	8	8	8
seven tombs illusion	9A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dopplezon	VK	4	1	8	1	1	8	8	8	8	8	8	8	4	8	8	1
Valkyrie	VK	4	1	8	1	1	8	8	8	8	8	8	8	4	8	8	1
Act2Hireling	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Act3Hireling	IW	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Megademon1	DM	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Megademon2	DM	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Megademon3	DM	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
NecroSkeleton	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
NecroMage	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Griswold	GZ	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
compelling orb	9a	1	1	8	8	8	8	8	8	8	8	8	8	1	8	8	8
tyrael act 4	TY	1	1	8	8	8	8	8	8	8	8	8	8	1	8	8	8
dark wanderer	1Z	1	8	1	8	8	8	8	8	8	8	8	8	1	8	8	8
trap nova	9A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mummy spirit	xx	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
arcane column thing	AE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
desert turret 2	PB	16	16	8	8	16	8	8	8	8	8	8	8	16	8	8	8
Panther Jav	PW	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Panther Jav	PW	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Panther Jav	PW	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Panther Jav	PW	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
boba fett	GU	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
darth maul	GU	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
CorpseMage	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
BoneMage	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
BurningDeadMage	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
HorrorMage	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
CorpseMage	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
BoneMage	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
BurningDeadMage	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
HorrorMage	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
CorpseMage	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
BoneMage	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
BurningDeadMage	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
HorrorMage	SK	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Moo	EC	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
window right	VH	1	1	8	8	8	8	8	8	8	8	8	8	1	8	8	8
window left	VJ	1	1	8	8	8	8	8	8	8	8	8	8	1	8	8	8
OrangePotPanther	PW	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
GreenPotPanther	PW	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Rat Man	FC	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Fetish	FC	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Flayer	FC	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Soul Killer	FC	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Stygian Doll	FC	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Mephisto Spirit	M6	16	16	8	8	16	8	8	8	8	8	8	8	16	8	8	8
Smith	5P	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
trapped soul	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
trapped soul	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jamella	ja	8	8	8	8	8	8	8	8	1	1	8	8	8	8	8	8
Izual Spirit	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fetish special	FE	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
malachai	36	8	8	8	8	8	8	8	8	1	1	8	8	8	8	8	8
Smith	5P	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Expansion		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Spike Generator	e9	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Charge Bolt Sentry	lg	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Lightning Sentry	lg	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Blade Creeper	b8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Invis Pet	k9	16	16	16	8	16	8	8	8	16	16	8	8	16	8	8	8
Inferno Sentry	e9	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Death Sentry	lg	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Shadow Warrior	k9	1	1	8	1	1	8	8	8	8	8	8	8	4	8	8	1
Shadow Apprentice	k9	1	1	8	1	1	8	8	8	8	8	8	8	4	8	8	1
Druid Hawk	hk	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Druid Spirit Wolf	wf	8	8	16	8	8	8	8	8	8	8	8	8	8	8	8	16
Druid Fenris	wf	8	8	16	8	8	8	8	8	8	8	8	8	8	8	8	16
Druid Spirit of Barbs	x4	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Druid Heart of Wolverine	x3	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Druid Oak Sage	xw	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Druid Plague Poppy	k9	16	16	16	8	16	8	8	8	16	16	8	8	16	8	8	8
Druid Cycle of Life	k9	16	16	16	8	16	8	8	8	16	16	8	8	16	8	8	8
Druid Vine Creature	k9	16	16	16	8	16	8	8	8	16	16	8	8	16	8	8	8
Druid Bear	b7	8	8	16	8	8	8	8	8	8	8	8	8	8	8	8	16
Eagle	eg	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Wolf	40	8	8	16	8	8	8	8	8	8	8	8	8	8	8	8	16
Bear	TG	8	8	16	8	8	8	8	8	8	8	8	8	8	8	8	16
Barricade Door Right	AJ	1	1	8	1	8	8	8	8	1	8	8	8	1	8	8	8
Barricade Door Left	AG	1	1	8	1	8	8	8	8	1	8	8	8	1	8	8	8
Prison Door	2Q	1	1	8	1	8	8	8	8	1	8	8	8	1	8	8	8
Barricade Tower	ac	1	1	8	1	8	8	8	8	8	8	8	8	1	8	8	8
RotWalker	re	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
ReanimatedHorde	re	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
ProwlingDead	re	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
UnholyCorpse	re	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
DefiledWarrior	re	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Seige Beast	ox	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
CrushBeast	ox	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
BloodBringer	ox	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
GoreBearer	ox	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
DeamonSteed	ox	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
snowyeti1	io	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
snowyeti2	io	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
snowyeti3	io	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
snowyeti4	io	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
wolfrider1	wr	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
wolfrider2	wr	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
wolfrider3	wr	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Minion	xx	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Slayer	xx	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
IceBoar	xx	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
FireBoar	xx	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
HellSpawn	xx	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
IceSpawn	xx	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
GreaterHellSpawn	xx	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
GreaterIceSpawn	xx	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
FanaticMinion	xy	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
BerserkSlayer	xy	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
ConsumedGireBoar	xy	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
ConsumedIceBoar	xy	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
FrenziedHellSpawn	xy	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
FrenziedIceSpawn	xy	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
InsaneHellSpawn	xy	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
InsaneIceSpawn	xy	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Succubus	0B	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
VileTemptress	0B	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
StygianHarlot	0B	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
BlightWing	0B	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
BloodBitch	0B	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Dominus	0C	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
VileWitch	0C	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
StygianFury	0C	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
MageWing	0C	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
HellBitch	0C	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
OverSeer	os	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Lasher	os	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
OverLord	os	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
BloodBoss	os	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
HellWhip	os	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
MinionSpawner	xa	1	1	8	8	1	8	8	8	8	8	8	8	1	8	8	8
MinionSpawner	xa	1	1	8	8	1	8	8	8	8	8	8	8	1	8	8	8
MinionSpawner	xa	1	1	8	8	1	8	8	8	8	8	8	8	1	8	8	8
MinionSpawner	xa	1	1	8	8	1	8	8	8	8	8	8	8	1	8	8	8
MinionSpawner	xa	1	1	8	8	1	8	8	8	8	8	8	8	1	8	8	8
MinionSpawner	xa	1	1	8	8	1	8	8	8	8	8	8	8	1	8	8	8
MinionSpawner	xa	1	1	8	8	1	8	8	8	8	8	8	8	1	8	8	8
MinionSpawner	xa	1	1	8	8	1	8	8	8	8	8	8	8	1	8	8	8
Imp	ip	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Imp	ip	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Imp	ip	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Imp	ip	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Imp	ip	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Catapult s	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Catapult e	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Catapult Siege	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Catapult w	ua	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Frozen Horror	f0	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Frozen Horror	f0	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Frozen Horror	f0	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Frozen Horror	f0	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Frozen Horror	f0	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Blood Lord	L3	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Blood Lord	L3	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Blood Lord	L3	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Blood Lord	L3	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Blood Lord	L3	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Larzuk	XR	8	8	8	8	8	8	8	8	1	8	8	8	8	8	8	8
Drehya	XS	8	8	8	8	8	8	8	8	1	8	8	8	8	8	8	8
Malah	XT	8	8	8	8	8	8	8	8	1	8	8	8	8	8	8	8
Nihlathak Town	0J	8	8	8	8	8	8	8	8	1	8	8	8	8	8	8	8
Qual-Kehk	XV	8	8	8	8	8	8	8	8	1	8	8	8	8	8	8	8
Catapult Spotter S	k9	16	16	16	8	16	8	8	8	16	16	8	8	16	8	8	8
Catapult Spotter E	k9	16	16	16	8	16	8	8	8	16	16	8	8	16	8	8	8
Catapult Spotter Siege	k9	16	16	16	8	16	8	8	8	16	16	8	8	16	8	8	8
Catapult Spotter W	k9	16	16	16	8	16	8	8	8	16	16	8	8	16	8	8	8
deckardcain	DC	1	8	8	8	8	8	8	8	8	8	8	8	1	8	8	8
tyrael act 4	TY	1	1	8	8	8	8	8	8	8	8	8	8	1	8	8	8
Act 5 Combatant 1	0A	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Act 5 Combatant 2	0A	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Barricade Door Right	a6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Barricade Door Left	AK	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Nihlathak Town	XU	8	8	8	8	8	8	8	8	1	8	8	8	8	8	8	8
Drehya	XS	8	8	8	8	8	8	8	8	1	8	8	8	8	8	8	8
Generic Spawner	2T	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Death Mauler 1	m5	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Death Mauler 2	m5	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Death Mauler 3	m5	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Death Mauler 4	m5	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Death Mauler 5	m5	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
pow	0a	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Act 5 TownGuard 1	0A	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Act 5 TownGuard 2	0A	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Ancient Statue 1	0G	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Ancient Statue 2	0H	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Ancient Statue 3	0I	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Ancient Barbarian 1	0D	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Ancient Barbarian 2	0F	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Ancient Barbarian 3	0E	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Baal Throne	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Baal Crab	42	1	8	8	8	8	8	8	8	8	8	8	8	1	8	8	8
Baal Taunt	K9	1	1	8	8	1	8	8	8	1	8	8	8	1	8	8	8
Putrid Defiler1	45	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Putrid Defiler2	45	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Putrid Defiler3	45	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Putrid Defiler4	45	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Putrid Defiler5	45	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Pain Worm1	46	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Pain Worm2	46	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Pain Worm3	46	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Pain Worm4	46	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Pain Worm5	46	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Rabbit	48	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
BaalHighPriest	HP	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
BaalMegademon	DM	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Baal Crab To Stairs	42	1	8	8	8	8	8	8	8	8	8	8	8	1	8	8	8
Act 5 Hirable 1HS	0A	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Act 5 Hirable 2HS	0A	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Baal Tentacle1	44	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Baal Tentacle2	44	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Baal Tentacle3	44	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Baal Tentacle4	44	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Baal Tentacle5	44	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
InjuredBarbarian 1	6z	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
InjuredBarbarian 2	7j	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
InjuredBarbarian 3	7i	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Baal Crab	42	1	8	8	8	8	8	8	8	8	8	8	8	1	8	8	8
Baals Minion1	43	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Baals Minion2	43	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Baals Minion3	43	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Worldstone Effect	K9	1	1	8	8	1	8	8	8	1	8	8	8	1	8	8	8
