name	version	completed	beta	rarity	Level	LevelReq	code	type	cost mult	cost add	transform	invtransform	transformcolor	ItemMod1Code	ItemMod1Param	ItemMod1Min	ItemMod1Max	ItemMod2Code	ItemMod2Param	ItemMod2Min	ItemMod2Max	ItemMod3Code	ItemMod3Param	ItemMod3Min	ItemMod3Max	ItemMod4Code	ItemMod4Param	ItemMod4Min	ItemMod4Max	ItemMod5Code	ItemMod5Param	ItemMod5Min	ItemMod5Max	ItemMod6Code	ItemMod6Param	ItemMod6Min	ItemMod6Max	ItemMod7Code	ItemMod7Param	ItemMod7Min	ItemMod7Max	ItemMod8Code	ItemMod8Param	ItemMod8Min	ItemMod8Max	ItemMod9Code	ItemMod9Param	ItemMod9Min	ItemMod9Max	ItemMod10Code	ItemMod10Param	ItemMod10Min	ItemMod10Max
Nightsmoke	0	1	1	1	27	20	mbl	Belt	5	5000	1	1	13	res-all	0	10	10	dmg-to-mana	0	50	50	mana	0	20	20	red-dmg	0	2	2	ac	0	15	15		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Goldwrap	0	1	1	1	36	27	tbl	Heavy Belt	5	5000	1	1	4	mag%	0	30	30	light	0	2	2	ac	0	40	40	swing1	0	10	10																								0
Bladebuckle	0	1	1	1	39	29	hbl	Girdle	5	5000	1	1	14	thorns	0	8	8	ac	0	40	40	red-dmg	0	3	3	str	0	5	5	dex	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Nokozan Relic	0	1	1	20	14	10	amu	Amulet	5	5000	1	0	15	fire-min	0	3	3	res-fire-max	0	10	10	res-fire	0	10	10	light	0	3	3	fire-max	0	6	6		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Eye of Etlich	0	1	1	5	20	15	amu	Amulet	5	5000	1	0	16	ac-miss	0	10	40	light	0	1	5	allskills	0	1	1	lifesteal	0	3	7	cold-min	0	1	2	cold-max	0	3	5	cold-len	0	50	250		0	0	0		0	0	0		0	0	0
The Mahim-Oak Curio	0	1	1	10	34	25	amu	Amulet	5	5000	1	0	17	dex	0	5	5	mana	0	20	20	str	0	5	5	hp	0	20	20	ac	0	10	10	att	0	40	40		0				0	0	0		0	0	0		0	0	0
Nagelring	0	1	1	80	10	7	rin	Ring	5	5000	1	0	18	red-mag	0	2	2	thorns	0	3	3	att	0	18	18	mag%	0	15	15		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Manald Heal	0	1	1	40	20	15	rin	Ring	5	5000	1	0	19	manasteal	0	4	4	regen	0	5	5	hp	0	20	20		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Stone of Jordan	0	1	1	1	39	29	rin	Ring	5	5000	1	0	0	mana	0	20	20	mana%	0	25	25	ltng-min	0	1	1	allskills	0	1	1	ltng-max	0	12	12		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Amulet of the Viper	0	1	0	1	0	0	vip	Amulet	5	5000	1	0	1	mana	0	10	10	res-pois	0	25	25	hp	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Staff of Kings	0	1	0	1	0	0	msf	Staff	5	5000	1	0	2	res-all	0	10	10	swing3	0	50	50		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Horadric Staff	0	1	0	1	0	0	hst	Staff	5	5000	1	0	3	mana	0	10	10	res-pois	0	25	25	hp	0	10	10	res-all	0	10	10	swing3	0	50	50		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Hell Forge Hammer	0	1	0	1	0	0	hfh	Hammer	5	5000	1	0	9	fire-min	0	5	5	fire-max	0	20	20	res-fire	0	40	40	ac	0	35	35		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
KhalimFlail	0	1	1	1	0	0	qf1	Flail	5	5000	1	0	5	ltng-min	0	1	1	ltng-max	0	20	20	swing3	0	50	50	att	0	40	40		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
SuperKhalimFlail	0	1	1	1	0	0	qf2	Flail	5	5000	1	0	5	ltng-min	0	1	1	ltng-max	0	40	40	swing3	0	50	50	att	0	40	40	manasteal	0	6	6	lifesteal	0	6	6		0	0	0		0	0	0		0	0	0		0	0	0
Expansion																																																					0
Coldkill	100	1	0	1	44	36	9ha	Hatchet	5	5000	1	1	6	dmg-cold	50	40	40	res-cold	0	15	15	res-cold-max	0	15	15	swing3	0	30	30	hit-skill	45	8	3	gethit-skill	44	8	5	dmg%	180	180	180						0	0	0				
Butcher's Pupil	100	1	0	1	47	39	9ax	Cleaver	5	5000	1	1	6	deadly	0	35	35	openwounds	0	25	25	dmg%	0	150	150	indestruct		0	0	swing3	0	30	30	dmg-norm	0	30	50																0
Islestrike	100	1	0	1	51	43	92a	Twin Axe	5	5000	0			dru	2	2	2	str	0	10	10	dex	0	10	10	vit	0	10	10	enr	0	10	10	ac-miss	0	50	50	crush	0	25	25	dmg%	0	190	190								0
Pompe's Wrath	100	1	0	1	53	45	9mp	Crowbill	5	5000	1	1	9	hit-skill	244	4	8	slow	0	50	50	dmg-fire	0	35	50	knock	0	1	1	dmg%	0	140	140																				0
Guardian Naga	100	1	0	1	56	48	9wa	Naga	5	5000	0			hit-skill	92	5	8	thorns	0	15	15	pois-len	0	150	150	res-pois	0	30	30	dmg%	0	150	150	dmg-pois	0	50	75																0
Warlord's Trust	100	1	0	1	43	35	9la	Military Axe	5	5000	1	1	0	ac	0	75	75	regen	0	20	20	vit/lvl	8	8	8	res-all	0	10	10	rep-dur	25	25	25	dmg%	0	175	175																0
Spellsteel	100	1	0	1	47	39	9ba	Bearded Axe	5	5000	1	1	0	ease	0	-60	-60	mana	0	100	100	red-mag	0	20	20	cast1	0	10	10	dmg%	0	165	165		0				0				0								0	0	0
Stormrider	100	1	0	1	49	41	9bt	Tabar	5	5000	1	1	7	hit-skill	53	4	10	hit-skill	38	5	0	dmg-ltng	0	35	75	dmg-norm	0	35	75	dmg%	0	100	100																				0
Boneslayer Blade	100	1	0	1	50	42	9ga	Gothic Axe	5	5000	0			att-und/lvl	10	10	10	dmg-und/lvl	20	20	20	str	0	8	8	swing2	0	20	20	att%	0	35	35	dmg%	0	200	200																0
The Minataur	100	1	0	1	53	45	9gi	Ancient Axe	5	5000	0			stupidity	0	10	10	half-freeze	0	1	1	str	0	15	15	slow	0	50	50	crush	0	30	30	dmg-norm	0	45	90	dmg%	0	140	140												0
Suicide Branch	100	1	0	1	41	33	9wn	Burnt Wand	5	5000	0			thorns	0	25	25	cast3	0	50	50	res-all	10	10	10	mana%	0	10	10	hp	0	40	40												0								
Carin Shard	100	1	0	1	43	35	9yw	Petrified Wand	5	5000	1	1	6	hp/lvl	10	10	8	cast2	0	10	10	mana/lvl	10	10	10	balance3	0	30	30	regen	5	5	5		0																		0
Arm of King Leoric	100	1	0	1	44	36	9bw	Tomb Wand	5	5000	0			skilltab	8	2	2	gethit-skill	93	2	5	mana/lvl	10	10	10	gethit-skill	88	0	2	cast1	0	10	10																				0
Blackhand Key	100	1	0	1	49	41	9gw	Grave Wand	5	5000	1	1	3	skilltab	6	3	3	dmg-to-mana	0	20	20	hp	0	50	50	light	0	2	2	cast3	0	30	30	res-fire	0	37	37																0
Dark Clan Crusher	100	1	0	1	42	34	9cl	Cudgel	5	5000	1	1	16	bar	0	1	1	dmg-demon	0	200	200	att-demon	0	200	200	dmg%	0	195	195		0				0				0				0								0	0	0
Zakarum's Hand	100	1	0	1	45	37	9sc	Rune Scepter	5	5000	1	1	17	manasteal	0	8	8	att%	0	300	300	regen-mana	0	10	10	regen-stam	0	15	15	hit-skill	59	3	5	dmg%	0	200	200	swing3	30	30	30		0								0	0	0
The Fetid Sprinkler	100	1	0	1	46	38	9qs	Holy Water Sprinkler	5	5000	0			pal	0	2	2	hit-skill	87	3	0	hit-skill	81	3	2	dmg-pois	0	150	200	pois-len	0	50	50	dmg%	0	180	180																0
Hand of Blessed Light	100	1	0	1	50	42	9ws	Devine Scepter	5	5000	1	0	13	skill	101	3	3	dmg%	0	150	150	att%	0	100	100	ac	0	50	50	regen-mana	0	15	15	light	0	4	4	dmg-norm		30	75		0								0	0	0
Fleshrender	100	1	0	1	46	38	9sp	Barbed Club	5	5000	1	0	3	openwounds	0	15	15	noheal	1	1	1	crush	0	20	20	deadly	0	20	20	bloody	0	1	1	dmg-norm	0	35	50	dmg%	0	130	130		0								0	0	0
Sureshrill Frost	100	1	0	1	47	39	9ma	Flanged Mace	5	5000	0			dmg-cold	0	15	60	nofreeze	0	1	1	cold-len	0	80	80	dmg%	0	175	175																				0				
Moonfall	100	1	0	1	50	42	9mt	Jagged Star	5	5000	0			hit-skill	56	3	6	dmg-fire	0	45	90	red-mag	0	15	15	dmg%	0	120	120																								0
Baezil's Vortex	100	1	0	1	53	45	9fl	Knot	5	5000	1	1	5	hit-skill	48	5	8	dmg-ltng	0	20	50	mana	0	100	100	res-ltng	25	25	25	dmg%	0	200	200																				0
Earthshaker	100	1	0	1	51	43	9wh	Battle Hammer	5	5000	0			hit-skill	234	3	7	knock	0	1	1	swing3	0	30	30	dmg%	0	180	180	stupidity	0	1	1																0				
Bloodtree Stump	100	1	0	1	56	48	9m9	War Club	5	5000	1	0	8	crush	50	50	50	bloody	40	40	40	dmg%	0	185	185	res-all	0	20	20	str	0	10	10																				
The Gavel of Pain	100	1	0	1	53	45	9gm	Martel de Fer	5	5000	0			ease	0	-50	-50	hit-skill	66	3	5	thorns	0	20	20	indestruct	0	1	1	gethit-skill	76	3	5	dmg-norm	0	25	60	dmg%	0	150	150												0
Bloodletter	100	1	0	1	38	30	9ss	Gladius	5	5000	1	1	9	dmg-norm	0	20	45	att	0	90	90	lifesteal	0	8	8	stamdrain	0	10	10	swing2	0	20	20	dmg%		190	190		0								0	0	0				
Coldsteel Eye	100	1	0	1	39	31	9sm	Cutlass	5	5000	1	0	2	stupidity	0	1	1	slow	0	30	30	crush	0	50	50	dur%	0	70	70	dmg%	0	200	200		0				0				0								0	0	0
Hexfire	100	1	0	1	41	33	9sb	Shamshir	5	5000	0			hit-skill	62	3	0	ignore-ac	0	1	1	res-fire	0	25	25	res-fire-max	0	10	10	dmg-norm	0	35	40	dmg%	0	160	160																0
Blade of Ali Baba	100	1	0	1	43	35	9fc	Tulwar	5	5000	1	1	9	sock	3	3	3	gold%/lvl	12	0	0	mag%	35	35	35	mana	0	15	15	dmg%	0	120	120	dex	0	15	15												0				
Ginther's Rift	100	1	0	1	45	37	9cr	Dimensional Blade	5	5000	1		6	red-mag	0	20	20	dmg-norm	0	25	50	swing3	0	30	30	rep-dur	0	20	20	dur%	100	100	100	dmg%	0	200	200												0				
Headstriker	100	1	0	1	47	39	9bs	Battle Sword	5	5000	1	1	20	noheal	0	1	1	str	0	15	15	deadly/lvl	6	6	6	dmg/lvl	8	8	8	dmg%	0	150	150																				0
Plague Bearer	100	1	0	1	49	41	9ls	Rune Sword	5	5000	0			hit-skill	92	3	0	pois-len	0	120	120	dmg-pois	0	100	200	dmg-norm	0	10	45	dmg%		150	150	res-pois		45	45																0
The Atlantian	100	1	0	1	50	42	9wd	Ancient Sword	5	5000	1	1	4	dur	0	100	100	ac	0	75	75	str	0	16	16	dex	0	8	8	vit	0	10	10	dmg%	0	190	190	pal	0	2	2		0								0	0	0
Crainte Vomir	100	1	0	1	50	42	92h	Espadon	5	5000	1	0	15	slow	0	35	35	dmg-ac	0	-70	-70	move2	0	20	20	red-dmg%	0	10	10	dmg%	0	175	175	swing3	50	50	50		0								0	0	0				
Bing Sz Wang	100	1	0	1	51	43	9cm	Dacian Falx	5	5000	0			ease	0	-30	-30	dmg-cold	0	20	40	str	0	20	20	freeze	64	50	0	hit-skill	64	5	1	dmg%		130	130																0
The Vile Husk	100	1	0	1	52	44	9gs	Tusk Sword	5	5000	1	1	2	hit-skill	66	5	2	dmg-und/lvl	60	60	60	res-pois	0	50	50	dmg-pois	0	100	200	pois-len	0	120	120	dmg%	0	200	200																0
Cloudcrack	100	1	0	1	53	45	9b9	Gothic Sword	5	5000	0			hit-skill	121	5	2	dmg-ltng	0	30	60	ac	0	30	30	light	0	2	2	res-ltng-max	10	10	10	dmg%	0	150	150	light-thorns	0	15	15												0
Todesfaelle Flamme	100	1	0	1	54	46	9fb	Zweihander	5	5000	0			dmg-fire	0	50	100	res-fire	0	40	40	abs-fire	0	10	10	att-skill	36	0	4	dmg%	0	120	120	att-skill	52	2	8																0
Swordguard	100	1	0	1	55	48	9gd	Executioner Sword	5	5000	1	1	20	ease	0	-50	-50	ac/lvl	20	20	20	res-all	0	10	10	ac-miss	0	100	100	dmg-to-mana	30	30	30	dmg%	0	175	175																0
Spineripper	100	1	0	1	40	32	9dg	Poignard	5	5000	0			ignore-ac	0	1	1	lifesteal	8	8	8	noheal	0	1	1	swing3	0	15	15	dex	0	10	10	dmg%		200	200																0
Heart Carver	100	1	0	1	44	36	9di	Rondel	5	5000	0			deadly	0	35	35	att%	150	150	150	dmg-norm	0	15	35	dmg%	0	200	200	ignore-ac		1	1																				0
Blackbog's Sharp	100	1	0	1	46	38	9kr	Cinquedeas	5	5000	0			slow	0	50	50	ac	0	50	50	dmg-norm	0	15	45	swing3	0	30	30																								0
Stormspike	100	1	0	1	49	41	9bl	Stilleto	5	5000	1	1	6	dmg-ltng	0	30	60	light-thorns	0	20	20	gethit-skill	38	25	3	dmg%	0	150	150	res-ltng/lvl	8																						0
The Impaler	100	1	0	1	39	31	9sr	War Spear	5	5000	1	1	7	ignore-ac	1	1	1	att	0	150	150	swing2	20	20	20	openwounds	0	40	40	noheal	1	1	1	dmg%	0	150	150		0				0								0	0	0
Kelpie Snare	100	1	0	1	41	33	9tr	Fuscina	5	5000	0			slow	0	100	100	res-fire	0	50	50	hp/lvl	10	10	10	dmg-norm	0	30	50	str	0	10	10	dmg%	0	150	150																0
Soulfeast Tine	100	1	0	1	43	35	9br	War Fork	5	5000	1	1	13	ease	0	-20	-20	lifesteal	0	7	7	manasteal	0	7	7	stamdrain	20	20	20	dmg%	175	175	175																				0
Hone Sundan	100	1	0	1	45	37	9st	Yari	5	5000	0			sock	0	3	3	dmg-norm	0	20	70	crush	0	45	45	rep-dur	10	10	10	dmg%		180	180																				0
Spire of Honor	100	1	0	1	47	39	9p9	Lance	5	5000	1	1	1	lifesteal	0	5	5	light	0	5	5	regen	0	10	10	balance1	10	10	10	dmg-norm	0	50	85	dmg-dem/lvl	10	10	10	dmg%	0	145	145												0
The Meat Scraper	100	1	0	1	49	41	9b7	Lochaber Axe	5	5000	1	1	8	light-thorns	0	20	20	dmg%	0	100	100	swing2	0	30	30	lifesteal	0	6	6	mag%	0	25	25		0				0								0	0	0				
Blackleach Blade	100	1	0	1	50	42	9vo	Bill	5	5000	1	1	3	ease	0	-25	-25	hit-skill	72	3	5	light	0	-2	-2	lifesteal	0	8	8	dmg/lvl	10	10	10	dmg%		100	100																0
Athena's Wrath	100	1	0	1	50	42	9s8	Battle Scythe	5	5000	0			bar	2	2	2	dex	0	15	15	swing3	0	30	30	hp	100	100	100	dmg/lvl	8	8	8	dmg%	0	180	180																0
Pierre Tombale Couant	100	1	0	1	51	43	9pa	Partizan	5	5000	1	1	15	deadly	0	55	55	nec	0	2	2	balance3	0	30	30	manasteal	0	8	8	dmg-norm	0	15	35	ease		-50	-50	dmg%	0	160	160												0
Husoldal Evo	100	1	0	1	52	44	9h9	Bec-de-Corbin	5	5000	0			regen	20	20	20	att	0	200	200	noheal	0	1	1	dmg-norm	0	40	65	dmg%	0	160	160																				0
Grim's Burning Dead	100	1	0	1	52	45	9wc	Grim Scythe	5	5000	1	1	9	dmg-fire	0	20	50	res-fire	0	15	15	dmg%		190	190	thorns	0	8	8	str	0	10	10																0				
Razorswitch	100	1	0	1	36	28	8ss	Jo Stalf	5	5000	1	0	17	cast3	0	30	30	thorns	0	15	15	mana	0	175	175	hp	0	80	80	red-mag	0	15	15	res-all	0	50	50		0				0								0	0	0
Ribcracker	100	1	0	1	39	31	8ls	Quarterstaff	5	5000	1	1	4	skilltab	5	3	3	cast2	20	20	20	mana/lvl	0	10	10	dex	0	15	15	ac	0	100	100	regen	15	15	15	regen-mana	0	20	20		0										0
Chromatic Ire	100	1	0	1	43	35	8cs	Cedar Staff	5	5000	0			thorns	0	15	15	res-all	0	25	25	cast1	20	20	20	sor	0	3	3	light-thorns	0	20	20	hp%	50	50	50																
Warpspear	100	1	0	1	47	39	8bs	Gothic Staff	5	5000	1	1	6	sor	0	2	2	att%	0	100	100	dmg-norm	0	14	45	skill	54	3	3	skill	43	2	2	ac-miss	100	100	100		0				0										0
Skullcollector	100	1	0	1	49	41	8ws	Rune Staff	5	5000	1	1	3	skill	42	3	3	howl	0	60	60	mana%	0	30	30	cast2	0	20	20	mana-kill	0	10	10	hp		50	50		0				0										0
Skystrike	100	1	0	1	36	28	8sb	Edge Bow	5	5000	0			dmg-ltng	0	35	55	att	0	100	100	enr	0	10	10	swing3	0	30	30	dmg%	0	175	175																				
Riphook	100	1	0	1	39	31	8hb	Razor Bow	5	5000	1	1	9	openwounds	0	30	30	dmg%	0	200	200	slow	0	30	30	mana	0	35	35	cast3	0	30	30		0				0								0	0	0				
Kuko Shakaku	100	1	0	1	41	33	8lb	CedarBow	5	5000	1	1	17	skill	27	3	3	res-fire	0	40	40	att-skill	36	2	10	dmg%	0	180	180	pierce	0	1	1						0				0								0		0
Endlesshail	100	1	0	1	44	36	8cb	Double Bow	5	5000	0			res-cold	0	35	35	mana	0	40	40	ac-miss	0	50	50	skill	12	2	2	dmg%		200	200						0				0								0		0
Whichwild String	100	1	0	1	47	39	8s8	Short Siege Bow	5	5000	1	1	4	hit-skill	66	2	5	res-all	0	40	40	deadly/lvl	8	8	8	dmg%	0	160	160		0								0				0								0		0
Cliffkiller	100	1	0	1	49	41	8l8	Long Siege Bow	5	5000	1	0	16	ama	0	2	2	dmg%	0	200	200	ac-miss	0	80	80	knock	0	1	1	hp	0	50	50		0				0				0								0	0	0
Magewrath	100	1	0	1	51	43	8sw	Rune Bow	5	5000	1	0	19	manasteal	0	15	15	red-mag	0	30	30	skill	22	3	3	att%	0	150	150	dex	0	10	10	stupidity	1	1	1	dmg-norm	0	35	75	dmg%	0	150	150		0	0	0				
Godstrike Arch	100	1	0	1	54	46	8lw	Gothic Bow	5	5000	1	1	1	dmg%	0	200	200	ac-miss	0	65	65	att%	0	150	150	dmg-demon	0	100	200	hit-skill	121	5	2	swing3	0	50	50		0				0								0		0
Langer Briser	100	1	0	1	40	32	8lx	Arbalest	5	5000	0			knock	0	1	1	dmg%	170	170	170	hit-skill	245	1	3	mag%	15	15	15	hp	0	30	30	mag%	0	30	30		0				0								0		0
Pus Spiter	100	1	0	1	44	36	8mx	Siege Crossbow	5	5000	1	1	12	dmg-pois	0	120	200	pois-len	0	60	60	res-pois	0	25	25	res-pois-max	0	10	10	hit-skill	92	3	3	nec	0	2	2	ease	0	-100	-100	dmg%	0	190	190	swing1	0	10	10		0		0
Buriza-Do Kyanon	100	1	0	1	49	41	8hx	Balista	5	5000	0			pierce	0	1	1	dex	0	35	35	ac	0	75	75	dmg/lvl	20	20	20	swing3	0	50	50	dmg%	0	120	120		0				0								0		0
Demon Machine	100	1	0	1	57	49	8rx	Chu-Ko-Nu	5	5000	1	1	3	ac	0	65	65	mana%	0	50	50	pierce	0	1	1	explosivearrow	0	30	30	dmg-norm	0	35	75	dmg%	0	150	150		0				0								0	0	0
Armor																																																					0
Peasent Crown	100	1	0	1	36	28	xap	War Hat	3	5000	1	0	1	enr	0	20	20	vit	0	20	20	allskills	0	1	1	move3	0	0	0	regen	0	12	12	ac%	0	100	100		0				0				0				0		0
Rockstopper	100	1	0	1	39	31	xkp	Sallet	3	5000	0	0		res-ltng		37	37	hp	0	23	23	dex	0	13	13	balance3	0	30	30	enr	0	15	15	ac%	0	110	110										0				0		0
Stealskull	100	1	0	1	43	35	xlm	Casque	3	5000	0	0		manasteal	0	5	5	lifesteal	0	5	5	balance2	0	10	10	cast2	0	10	10	mana/lvl	4	4	4	ac	35	35	35										0				0		0
Darksight Helm	100	1	0	1	46	38	xhl	Basinet	3	5000	1	1	3	light	0	-4	-4	ac/lvl	16	16	16	nofreeze	0	1	1	manasteal	0	5	5	gethit-skill	71	2	5														0				0		0
Valkiry Wing	100	1	0	1	52	44	xhm	Winged Helm	3	5000	1	0	15	ac	0	35	35	move3	0	30	30	balance3	0	30	30	cast3	0	30	30	swing3	0	30	30		0				0				0				0				0		0
Crown of Thieves	100	1	0	1	57	49	xrn	Grand Crown	3	5000	1	1	16	dex	0	25	25	lifesteal	0	8	8	hp	0	50	50	mana	0	35	35	res-fire	0	33	33	ac%	0	175	175										0				0		0
Blackhorn's Face	100	1	0	1	49	41	xsk	Death Mask	3	5000	1	1	3	light-thorns	0	25	25	slow	0	20	20	noheal	0	1	1	abs-ltng	0	20	20	res-ltng	0	15	15	ac%	0	200	200		0				0				0				0		0
Vampiregaze	100	1	0	1	49	41	xh9	Grim Helm	3	5000	1	1	12	manasteal	0	8	8	lifesteal	0	8	8	stamdrain	0	15	15	red-dmg%	0	25	25	red-mag	0	15	15	ac%	0	100	100		0				0				0				0		0
The Spirit Shroud	100	1	0	1	36	28	xui	Ghost Armor	3	5000	0	0		nofreeze	0	1	1	allskills	0	1	1	red-mag	10	10	10	regen	10	10	10	ac%	150	150	150														0				0		0
Skin of the Vipermagi	100	1	0	1	37	29	xea	SerpentSkin Armor	3	5000	1	1	5	ac%	0	120	120	res-all	0	35	35	cast3	0	30	30	red-mag	0	15	15		0				0				0				0				0				0		0
Skin of the Flayerd One	100	1	0	1	39	31	xla	Demonhide Armor	3	5000	1	1	7	rep-dur	5	5	5	regen	10	10	10	dur%	0	100	100	lifesteal	0	5	5	ac%	175	175	175	thorns	15	15	15						0				0		0				
Ironpelt	100	1	0	1	41	33	xtu	Tresllised Armor	3	5000	1	1	2	dur	0	125	125	hp	0	27	27	dex	0	13	13	red-mag	0	13	13	ac/lvl	0	24	24	ac%		100	100										0				0		0
Spiritforge	100	1	0	1	43	35	xng	Linked Mail	3	5000	0	0		light	0	4	4	hp/lvl	10	10	10	dmg-fire	0	5	10	res-fire	0	5	5	ac%	0	120	120	str	0	15	15	sock	2	2	2		0				0		0				
Crow Caw	100	1	0	1	45	37	xcl	Tigulated Mail	3	5000	0	0		openwounds	0	35	35	ac%		165	165	dex	15	15	15	balance1	0	10	10	swing2	0	15	15														0				0		0
Shaftstop	100	1	0	1	46	38	xhn	Mesh Armor	3	5000	1	0	2	ac-miss	0	100	100	red-dmg%	0	30	30	hp	0	60	60	ac%	0	200	200		0				0				0				0				0				0		0
Duriel's Shell	100	1	0	1	49	41	xrs	Cuirass	3	5000	1	1	19	str	0	15	15	res-all	0	20	20	ac/lvl	10	10	10	hp/lvl	8	8	8	ac%	0	160	160														0				0		0
Skullder's Ire	100	1	0	1	50	42	xpl	Russet Armor	3	5000	0	0		allskills	0	1	1	red-mag	0	25	25	vit	0	30	30	mag%/lvl	10	0	0	rep-dur	25	0	0	ac%	0	200	200						0				0		0				
Guardian Angel	100	1	0	1	53	45	xlt	Templar Coat	3	5000	1	1	1	light	0	4	4	pal	0	1	1	ac%	0	75	75	block3	0	0	0	res-all-max	0	15	15	att-demon	0	100	100		0				0				0				0		0
Toothrow	100	1	0	1	56	48	xld	Sharktooth Armor	3	5000	1	1	0	thorns	20	20	20	ac	0	100	100	str	0	10	10	openwounds	0	40	40	res-fire	0	15	15	ac%	0	200	200										0				0		0
Atma's Wail	100	1	0	1	59	51	xth	Embossed Plate	3	5000	0	0		dex	0	15	15	regen	0	10	10	mana%	0	15	15	balance3	0	30	30	ac/lvl	16	16	16	dur	0	50	50	ac%	0	120	120						0				0		0
Black Hades	100	1	0	1	61	53	xul	Chaos Armor	3	5000	0	0		light	0	-2	-2	att-demon	0	150	150	thorns	0	15	15	half-freeze	0	1	1	sock	0	2	2	ac%	140	140	140										0				0		0
Corpsemourn	100	1	0	1	63	55	xar	Ornate Armor	3	5000	1	1	3	str	0	8	8	red-mag	0	15	15	res-cold	0	35	35	gethit-skill	76	3	2	ac%	0	170	170														0				0		0
Que-Hegan's Wisdon	100	1	0	1	59	51	xtp	Mage Plate	3	5000	0	0		cast3	0	30	30	mana-kill	0	3	3	red-mag	0	10	10	enr	0	20	20	balance1	0	15	15	ac%		150	150										0				0		0
Visceratuant	100	1	0	1	36	28	xuc	Defender	3	5000	1	0	8	nec	0	2	2	hp	0	80	80	block3	30	30	30	block	0	25	25	ac%	0	80	80		0				0				0				0				0		0
Mosers Blessed Circle	100	1	0	1	39	31	xml	Round Shield	3	5000	0			res-all	0	25	25	block	0	25	25	sock	2	0	0	ac%	0	200	200																		0				0		0
Stormchaser	100	1	0	1	43	35	xrg	Scutum	3	5000	1	1	6	dmg-max	0	35	35	block	0	20	20	half-freeze	0	1	1	res-ltng	0	35	35	att	0	150	150	ac%	0	60	60										0				0		0
Tiamat's Rebuke	100	1	0	1	46	38	xit	Dragon Shield	3	5000	1	1	1	dmg-cold	0	5	10	dmg-fire	0	10	25	dmg-pois	0	30	60	dmg-ltng	0	8	16	cold-len	0	150	150	block	0	10	10	pois-len	0	120	120	res-all	25	25	30	dmg-norm	0	10	20				
Kerke's Sanctuary	100	1	0	1	52	44	xow	Pavise	3	5000	1	1	10	vit/lvl	8	8	8	regen	0	15	15	red-dmg	0	15	15	red-mag	0	15	15	ac%	0	125	125	block	0	25	25										0				0		0
Radimant's Sphere	100	1	0	1	58	50	xts	Ancient Shield	3	5000	0			dmg-pois	80	40	75	gethit-skill	92	4	0	res-pois	0	20	20	ac%	0	85	85	block	0	25	25										0				0		0				
Lidless Wall	100	1	0	1	49	41	xsh	Grim Shield	3	5000	1	1	16	abs-pois/lvl	4	4	4	light	0	4	4	str	0	5	5	dex	0	5	5	vit	0	5	5	enr	0	5	5	ac%	0	80	80	block3	0	50	50		0				0		0
Lance Guard	100	1	0	1	43	35	xpk	Barbed Shield	3	5000	0			mana%	0	35	35	hp	0	50	50	balance3	0	30	30	dmg-to-mana	0	15	15	thorns	0	25	25	ac%	0	60	60		0				0				0				0		0
Venom Grip	100	1	0	1	37	29	xlg	Demonhide Gloves	5	5000	1	0	11	res-pois	0	30	30	res-pois-max	0	5	5	dmg-pois	0	75	150	pois-len	0	80	80	crush	0	5	5	lifesteal	0	5	5	ac%	40	40	40		0				0		0				
Gravepalm	100	1	0	1	39	32	xvg	Sharkskin Gloves	5	5000	0	0		enr	0	10	10	str	0	5	5	dmg-undead	0	200	200	att-undead	0	100	200	ac%	60	60	60														0				0		0
Ghoulhide	100	1	0	1	44	36	xmg	Heavy Bracers	5	5000	0	0		att-und/lvl	8	0	0	dmg-und/lvl	32	0	0	lifesteal	0	5	5	hp	0	20	20	ac%	0	20	20														0				0		0
Lavagout	100	1	0	1	50	42	xtg	Battle Guantlets	5	5000	1	0	13	res-fire	0	24	24	half-freeze	0	1	1	hit-skill	52	2	10	swing2	20	20	20	ac	0	50	50	dmg-fire	0	10	20		0				0		0								
Hellmouth	100	1	0	1	55	47	xhg	War Gauntlets	5	5000	0	0		dmg-fire	0	15	40	res-fire	0	20	20	thorns	0	10	10	nofreeze	0	1	1	ac%	0	150	150	hit-skill	56	5	1										0				0		0
Infernostride	100	1	0	1	27	29	xlb	Demonhide Boots	5	5000	0	0		dmg-fire	0	10	35	move3	0	30	30	res-fire-max	0	15	15	res-fire	0	20	20	light	0	2	2	ac%		120	120	gold%	0	65	65						0				0		0
Waterwalk	100	1	0	1	40	32	xvb	Sharkskin Boots	5	5000	0	0		ac-miss	0	100	100	move2	0	20	20	dex	0	15	15	ac%	0	200	200	hp	65	65	65	stam	40	40	40										0				0		0
