Overlay	Filename	Frames	Character	PreDraw	1ofN	Dir	Open	Beta	Xoffset	Yoffset	Height1	Height2	Height3	Height4	AnimRate	LoopWaitTime	Trans	InitRadius	Radius	Red	Green	Blue	NumDirections	LocalBlood
CycloneArmor1Back	Expansion\CycloneArmorABack	11	Druid	1	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
CycloneArmor2Front	Expansion\CycloneArmorBFront	11	Druid	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
CycloneArmor2Back	Expansion\CycloneArmorBBack	11	Druid	1	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
CycloneArmor3Front	Expansion\CycloneArmorCFront	11	Druid	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
CycloneArmor3Back	Expansion\CycloneArmorCBack	11	Druid	1	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Cloaked	Expansion\CloakOfShadows	16	all	0	1	0	0	0	0	0	-46	-60	-74	-120	16	0	3	1	2	255	210	210	1	0
AssassinFistImpact	Expansion\DeadlyFistHit	5	all	0	1	0	0	0	0	0	14	0	-14	-60	16	0	3	3	3	255	255	255	1	0
AssassinFootImpact	Expansion\DeadlyFistHit	5	all	0	1	0	0	0	0	0	14	0	-14	-60	16	0	3	3	3	255	255	255	1	0
TwisterFront	Expansion\TwisterFront	40	all	0	1	0	0	1	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
TwisterBack	Expansion\TwisterBack	40	all	1	1	0	0	1	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
BladeShield	Expansion\blade_shield	20	Assasin	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
RabiesPlague	Expansion\rabies	30	all	0	1	0	0	0	0	0	14	0	-14	-60	16	0	3	0	0	0	0	0	1	0
SpawnedBirthFlames	Expansion\SpawnedBirthFlames	8	all	0	1	0	0	0	0	0	0	0	0	0	8	0	3	1	3	255	0	0	1	0
SpawnedFlames	Expansion\SpawnedFlames	8	all	1	1	0	0	0	0	0	0	0	0	0	8	0	3	1	3	255	0	0	1	0
Defense Curse	expansion\succcurseoverlay1	11	all	0	1	0	0	0	0	0	14	0	-14	-60	8	0	3	1	6	255	193	103	1	0
Blood Mana	expansion\succcurseoverlay2	10	all	0	1	0	1	1	0	0	14	0	-14	-60	16	0	3	0	0	0	0	0	1	0
Burning	Expansion\On_Fire	19	all	0	1	0	1	1	0	0	0	0	0	0	16	0	3	1	6	255	64	64	1	0
Catapult Death S	Expansion\catadeathoversouth	21	all	0	1	0	0	0	0	0	14	0	-14	-60	8	0	3	1	6	255	64	64	1	0
Catapult Death E	Expansion\catadeathovereast	21	all	0	1	0	0	0	0	0	14	0	-14	-60	8	0	3	1	6	255	64	64	1	0
Ice Cage	expansion\icecage_neutral	1	Monster	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ice Cage Melt	expansion\icecage_melt	30	Monster	0	1	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0
Succubae Death	expansion\succ1deathoverlay	18	Monster	0	1	0	0	0	0	0	0	0	0	0	10	0	3	0	0	0	0	0	1	0
Progressive Damage 1	expansion\MISSILE_A_A	16	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Damage 2	expansion\MISSILE_A_B	16	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Damage 3	expansion\MISSILE_A_C	16	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Steal 1	expansion\MISSILE_B_A	16	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Steal 2	expansion\MISSILE_B_B	16	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Steal 3	expansion\MISSILE_B_C	16	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Other 1	expansion\MISSILE_C_A	10	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Other 2	expansion\MISSILE_C_B	10	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Other 3	expansion\MISSILE_C_C	10	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Fire 1	expansion\MISSILE_RED_A	16	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Fire 2	expansion\MISSILE_RED_B	16	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Fire 3	expansion\MISSILE_RED_C	16	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Fire 2 Attack	FireCast_for_Sorceress	14	all	0	1	0	0	0	0	0	0	0	0	0	32	0	3	0	0	0	0	0	1	0
Progressive Fire 3 Attack	FireCast2	16	all	0	1	0	0	0	0	0	0	0	0	0	32	0	3	0	0	0	0	0	1	0
Progressive Cold 1	expansion\MISSILE_BLUE_A	16	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Cold 2	expansion\MISSILE_BLUE_B	16	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Cold 3	expansion\MISSILE_BLUE_C	16	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Cold 2 Attack	IceCastNew01	15	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Cold 3 Attack	IceCastNew02	15	all	0	1	0	0	0	0	0	0	0	0	0	32	0	3	0	0	0	0	0	1	0
Progressive Lightning 1	expansion\MISSILE_WHITE_A	16	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Lightning 2	expansion\MISSILE_WHITE_B	16	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Lightning 3	expansion\MISSILE_WHITE_C	16	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Lightning 2 Attack	expansion\skill_norotate	10	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Progressive Lightning 3 Attack	expansion\skill_norotate	10	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Spirit of Barbs	expansion\spirit_of_barbs	12	all	1	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Heart of Wolverine	expansion\Heart_of_Wolverine	30	all	1	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Inpregnated	expansion\painwormcurse	10	all	1	1	0	1	1	0	0	0	0	0	0	8	0	3	0	0	0	0	0	1	0
Quickness	expansion\quickness	9	Assasin	1	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
VenomClaws	expansion\venomclaws	10	Assasin	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
DragonFlight	expansion\DragonFlight	9	Assasin	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Maul1	expansion\Maul_A_Front	16	Druid	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Maul2	expansion\Maul_B_Front	16	Druid	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Maul3	expansion\Maul_C_Front	16	Druid	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Maul4	expansion\Maul_D_Front	16	Druid	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Maul5	expansion\Maul_E_Front	16	Druid	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
FeralRage1	expansion\feral_rage_A_Front	16	Druid	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
FeralRage2	expansion\feral_rage_B_Front	16	Druid	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
FeralRage3	expansion\feral_rage_C_Front	16	Druid	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
FeralRage4	expansion\feral_rage_D_Front	16	Druid	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
FeralRage5	expansion\feral_rage_E_Front	16	Druid	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
ShadowWarriorAppear	expansion\ShadowAppear	16	Assasin	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
ShadowWarriorFade	expansion\ShadowAppear	16	Assasin	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Fade	expansion\fade	20	Assasin	1	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
DireWolfCharged	expansion\DireWolfCharged	16	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
DireWolfCharged	expansion\poisonhit	8	all	0	1	0	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	1	0
BaalOnThrone	expansion\baalshield	11	all	0	1	0	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	1	0
Death Sentry	expansion\dethsentry01	12	all	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Maul1Back	expansion\Maul_A_Back	16	Druid	1	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Maul2Back	expansion\Maul_B_Back	16	Druid	1	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Maul3Back	expansion\Maul_C_Back	16	Druid	1	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Maul4Back	expansion\Maul_D_Back	16	Druid	1	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
Maul5Back	expansion\Maul_E_Back	16	Druid	1	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
FeralRage1Back	expansion\feral_rage_A_Back	16	Druid	1	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
FeralRage2Back	expansion\feral_rage_B_Back	16	Druid	1	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
FeralRage3Back	expansion\feral_rage_C_Back	16	Druid	1	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
FeralRage4Back	expansion\feral_rage_D_Back	16	Druid	1	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
FeralRage5Back	expansion\feral_rage_E_Back	16	Druid	1	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
TigerStrikeA	expansion\tiger_Strike_A	32	all	0	1	0	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	1	0
TigerStrikeB	expansion\tiger_Strike_B	32	all	0	1	0	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	1	0
TigerStrikeC	expansion\tiger_Strike_C	32	all	0	1	0	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	1	0
CobraStrikeA	expansion\Cobra_Strike_A	16	Assasin	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
CobraStrikeB	expansion\Cobra_Strike_B	16	Assasin	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
CobraStrikeC	expansion\Cobra_Strike_C	16	Assasin	0	1	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0	0	1	0
