skill	Id	charclass	ClassReq	Monster	Enhanceable	AttackRank	itemclass1	itemclass2	itemclass3	itemclass4	itemclass5	itemclass6	anim	monanim	seqnum	isaura	Durability	Shiver	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchMonsterNear	SelectDead	SearchOpenXY	TargetPet	TargetAlly	ItemEffect	range	AttackNoMana	reqlevel	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	State1	State2	State3	Delay	SkillPage	SkillRow	SkillColumn	IconCel	leftskl	manashift	mana	lvlmana	Interrupt	InTown	Periodic	Finishing	Passive	Param1	Param1 Description	Param2	Param2 Description	Param3	Param3 Description	Param4	Param4 Description	Param5	Param5 Description	Param6	Param6 Description	effect	leveleffect	InGame	Done	Open	Beta	What's left? - code	What's Left - art	ToHit	LevToHit	HitShift	SrcDam	MinDam	MaxDam	LevDam1	LevDam2	LevDam3	EType	EMin	EMax	ELev1	ELev2	ELev3	ELen	ELevLen1	ELevLen2	ELevLen3	caster state	cost mult	cost add
Fire Wall	51	sor	0	0	1	4	xxx	xxx	xxx	xxx	xxx	xxx	cast	cast	0	0	0	1	0	4	0	0	0	0	1	0	0	1	none	0	18	0	0	0	0	Blaze			0	0	0	35	1	4	1	30	1	8	22	1	1	0	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	creates wall of fire	more duration/length	1	1	0	0	*Check	?	0	0	4	0	0	0	0	0	0	fire	14	20	6	7	9	0	0	0	0		640	16000
Enchant	52	sor	0	0	1	4	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	1	1	1	none	0	18	0	0	0	0	Warmth	Fire Ball		0	0	0	0	1	4	3	32	1	8	25	2	1	1	0	0	0	3600	duration	600	duration per level	0	?	0	?	0	?	0	?	"turns target's sword into flaming weapon, with slightly slower attack"	more damage	1	1	0	0	*Check	"overlayF, weapon ovelay component"	0	0	8	0	0	0	0	0	0	fire	8	10	2	4	6	0	0	0	0		640	16000
Chain Lightning	53	sor	0	0	1	2	xxx	xxx	xxx	xxx	xxx	xxx	seq	cast	12	0	0	1	0	0	0	0	0	0	0	0	0	1	none	0	18	0	0	0	0	Lightning			0	0	0	0	2	4	2	34	0	8	9	1	1	0	0	0	0	8	radius of jump to next target	0	?	26	bolts (5ths)	1	bolts per level (5ths)	0	?	0	?	"like lightning but if there is a (previously unhit) target within 6 squares, jumps to it"	"more damage, more radius"	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0	ltng	1	40	11	13	15	0	0	0	0		640	16000
Teleport	54	sor	0	0	1	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	1	none	0	18	0	0	0	0	Telekinesis			0	0	0	0	2	4	3	36	1	8	24	-1	1	0	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	teleports to target square. (good for testing too)	na	1	1	0	0	*Check	done	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		640	16000
Glacial Spike	55	sor	0	0	1	7	xxx	xxx	xxx	xxx	xxx	xxx	cast	cast	0	0	0	1	0	0	0	0	0	0	0	0	0	1	none	0	18	0	0	0	0	Ice Blast			0	0	0	0	3	4	2	38	0	7	20	1	1	0	0	0	0	4	radius	0	radius per level	50	freeze frames	3	freeze frames per level	0	?	0	?	"like ice Blast, but bigger radius and does damage to specific target"	more damage	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0	cold	16	24	7	7	7	0	0	0	0		640	16000
Meteor	56	sor	0	0	1	6	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	0	0	1	0	0	1	none	0	24	0	0	0	0	Fire Ball	Fire Wall		0	0	0	50	1	5	2	40	1	7	34	1	1	0	0	0	0	6	radius of explosion	0	radius per level	30	Frames of fire	15	Frames of fire per level	0	?	0	?	"giant meteor comes from sky and hits target square 60 frames after cast, immol arrow type"	"more damage, more radius"	1	1	0	0	*Check	"lightsource target, meteor missile, immolation explosion"	0	0	8	0	0	0	0	0	0	fire	80	100	24	40	80	0	0	0	0		768	32000
Thunder Storm	57	sor	0	0	1	5	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	0	none	0	24	0	0	0	0	Nova	Chain Lightning		0	0	0	0	2	5	1	42	1	8	19	0	1	0	0	0	0	800	duration	200	additional duration/level	25	minimum repeat time	100	repeat time factor	0	min % repeat time	100	max % repeat time	"after 60 frames and every 60 thereafter, lightning bolt from sky hits random unfriendly target in radius"	"longer duration, bigger radius"	1	1	0	0	*Check	"proc lightning from sky, thunder sounds"	0	0	8	0	0	0	0	0	0	ltng	1	100	10	10	11	0	0	0	0		768	32000
Energy Shield	58	sor	0	0	1	4	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	0	none	0	24	0	0	0	0	Teleport	Chain Lightning		0	0	0	0	2	5	3	44	1	8	5	0	1	1	0	0	0	3600	duration	1200	additional duration/level	5	min % absorbtion	75	max % absorbtion	8	Mana Damage mult in Fourths	0	?	all non-physical damage (and a percent of physical) is applied to mana for duration of shield	"longer duration, more physical"	1	1	0	0	*Check	done	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		768	32000
Blizzard	59	sor	0	0	1	7	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	0	0	1	0	0	1	none	0	24	0	0	0	0	Frost Nova	Glacial Spike		0	0	0	45	3	5	1	46	1	8	23	1	1	0	0	0	0	7	radius	0	?	4	Missile delay	0	Change duration in Missiles.xls	0	?	0	?	random spot in target area is hit by an ice shard from the sky every 2 frames	longer duration	1	1	0	0	*Check	"overlayC, darken act and wind noise"	0	0	8	0	0	0	0	0	0	cold	30	50	12	25	40	50	0	0	0		768	32000
Chilling Armor	60	sor	0	0	1	5	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	1	none	0	24	0	0	0	0	Shiver Armor			0	0	0	0	3	5	3	48	1	8	17	0	1	1	0	0	0	45	% AC Bonus	5	% AC bonus per level	3600	duration	150	duration per level	0	?	0	?	"AC bonus, fires ice bolt at source of missile attacks except poison and firewall"	longer duration	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0	cold	4	6	1	2	3	100	0	0	0		768	32000
Fire Mastery	61	sor	0	0	1	3	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	0	none	0	30	0	0	0	0				0	0	0	0	1	6	2	50	1	8	0	0	1	0	0	0	1	30	% Damage bonus	7	% Damage bonus per level	0	?	0	?	0	?	0	?	PASSIVE adds 10% damage/level to fire spells(tab)	?	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0	fire	0	0	0	0	0	0	0	0	0		896	64000
Hydra	62	sor	0	0	1	7	xxx	xxx	xxx	xxx	xxx	xxx	cast	sk1	0	0	0	1	0	4	0	0	0	0	0	0	0	1	none	0	30	0	0	0	0	Enchant			0	0	0	50	1	6	3	52	1	7	40	1	1	0	0	0	0	250	duration	0	additional duration/level	0	?	0	?	0	?	0	?	"like guardian in D1, multi-headed beastie fires 75% firebolts (x3 damage), 25% fireballs"	longer duration	1	1	0	0	*Check	"overlayF, explosion creates: Hydra"	0	0	8	0	0	0	0	0	0	fire	12	17	5	7	9	0	0	0	0		896	64000
Lightning Mastery	63	sor	0	0	1	5	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	0	none	0	30	0	0	0	0				0	0	0	0	2	6	2	54	1	8	0	0	1	0	0	0	1	50	% Damage bonus	12	% Damage bonus per level	0	?	0	?	0	?	0	?	PASSIVE reduces mana cost of cold spells by 10% (of current)	?	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		896	64000
Frozen Orb	64	sor	0	0	1	8	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	1	none	0	30	0	0	0	0	Blizzard			0	0	0	25	3	6	1	56	0	7	50	1	1	0	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	a slow moving pulsating orb that fires icebolts and explodes in a frost nova	more damage	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0	cold	35	40	6	10	14	200	25	25	25		896	64000
Cold Mastery	65	sor	0	0	1	3	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	0	none	0	30	0	0	0	0				0	0	0	0	3	6	2	58	1	8	0	0	1	0	0	0	1	10	min % resist chance	100	max % resist chance	0	?	0	?	0	?	0	?	PASSIVE reduces target's chance to resist by 5%/level	?	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		896	64000
Amplify Damage	66	nec	0	0	1	10	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	0	0	0	0	0	1	none	0	1	0	0	0	0				0	0	0	0	1	1	2	0	1	8	4	0	1	0	0	0	0	3	radius	1	radius per level	200	duration	75	additional duration/level	100	% additional damage taken	0	?	CURSE double damage taken by affected creature	longer duration	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		256	1000
Teeth	67	nec	0	0	1	1	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	1	none	0	1	0	0	0	0				0	0	0	0	2	1	2	2	0	7	6	1	1	0	0	0	0	2	number of missiles	1	additional missiles/level	0	?	0	?	0	?	0	?	shoots out randomly directed missiles (generally forward) like quill rat	more missiles	1	1	0	1	*Check	?	0	0	7	0	0	0	0	0	0	mag	4	8	2	2	2	0	0	0	0		256	1000
Bone Armor	68	nec	0	0	1	3	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	1	none	0	1	0	0	0	0				0	0	0	0	2	1	3	4	1	8	11	1	1	1	0	0	0	20	damage absorbed	10	additional absorbed/level	0	?	0	?	0	?	0	?	"creates 2 damage absorbing bone orbiters, each sucking up the first 6 points that come in"	extra orbiter	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		256	1000
Skeleton Mastery	69	nec	0	0	1	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	0	none	0	1	0	0	0	0	Raise Skeleton			0	0	0	0	3	1	1	6	1	8	0	0	1	0	0	0	1	7	additional hit points/level	2	additional damage per level	0	?	0	?	0	?	0	?	PASSIVE boosts summoned necroskeletons and necromages (also add component look tabe)	oh so much	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		256	1000
Raise Skeleton	70	nec	0	0	1	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	1	1	0	0	0	0	none	0	1	0	0	0	0				0	0	0	0	3	1	3	8	1	8	6	1	1	0	0	0	0	5	% chance of shield	0	?	0	?	0	?	0	?	0	?	Brings undead corpse back (CAST 1 per skill level)	more castable	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		256	1000
Dim Vision	71	nec	0	0	1	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	0	0	0	0	0	1	none	0	6	0	0	0	0				0	0	0	0	1	2	1	10	1	8	9	0	1	0	0	0	0	4	radius	1	radius per level	175	duration	50	additional duration/level	0	?	0	?	"CURSE lower affected creature's vision radius to 5 + (monlevel - charlevel), minimum 3"	longer duration	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		384	3000
Weaken	72	nec	0	0	1	9	xxx	xxx	xxx	xxx	xxx	xxx	cast	cast	0	0	0	1	0	4	0	0	0	0	0	0	0	1	none	0	6	0	0	0	0	Amplify Damage			0	0	0	0	1	2	3	12	1	8	4	0	1	0	0	0	0	9	radius	1	radius per level	350	duration	60	additional duration/level	33	% damage target can do	0	?	CURSE target does 1/2 physical damage	longer duration	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		384	3000
Poison Dagger	73	nec	0	0	1	4	xxx	xxx	xxx	xxx	xxx	xxx	attack	seq	0	0	0	1	0	0	1	1	0	0	0	0	0	0	h2h	1	6	0	0	0	0				0	0	0	0	2	2	1	14	0	6	12	1	1	0	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	added bonus to hit params ------>	better poison	1	1	0	1	*Check	?	15	10	1	8	0	0	0	0	0	pois	18	40	10	15	20	50	0	0	0		384	3000
Corpse Explosion	74	nec	0	0	1	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	1	1	0	0	0	1	none	0	6	0	0	0	0	Teeth			0	0	0	0	2	2	2	16	1	8	15	1	1	0	0	0	0	60	% of base monster HP min damage	100	% of base monster HP max damage	8	radius (half squares)	1	additional radius/level (half squares)	0	?	0	?	targeted corpse explodes doing damage to all in radius and destroying remains	bigger radius	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		384	3000
Clay Golem	75	nec	0	0	1	5	xxx	xxx	xxx	xxx	xxx	xxx	cast	sk1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	none	0	6	0	0	0	0				0	0	0	0	3	2	2	18	1	8	15	3	1	0	0	0	0	35	% HP bonus per level	35	% Damage bonus per level	0	?	0	?	0	?	0	?	summons a golem to fight for caster (like hirable)	better golem	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		384	3000
Iron Maiden	76	nec	0	0	1	9	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	0	0	0	0	0	1	none	0	12	0	0	0	0	Amplify Damage			0	0	0	0	1	3	2	20	1	8	5	0	1	0	0	0	0	7	radius	0	radius per level	300	duration	60	additional duration/level	200	% damage returned to accursed	25	% additional returned/level	CURSE creature takes 1/4 the damage it deals out (like reverse thorns) h2h and missiles	"longer duration, more damage"	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		512	8000
Terror	77	nec	0	0	1	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	0	0	0	0	0	1	none	0	12	0	0	0	0	Weaken			0	0	0	0	1	3	3	22	1	8	7	0	1	0	0	0	0	4	radius	0	radius per level	200	duration	25	additional duration/level	24	Distance to run	2	Distance per level	CURSE target runs away in fear	longer duration	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		512	8000
Bone Wall	78	nec	0	0	1	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	0	0	0	0	0	1	none	0	12	0	0	0	0	Bone Armor			0	0	0	0	2	3	3	24	1	8	17	0	1	0	0	0	0	25	% additional HP per level	1200	MAX duration	8	Max Monsters per wall	0	"Level, max monsters per wall"	0	?	0	?	"creates bone wall (like fire wall), that is completely destroyed when any segment takes full damage"	greater length and more HP	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		512	8000
Golem Mastery	79	nec	0	0	1	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	0	none	0	12	0	0	0	0	Clay Golem			0	0	0	0	3	3	1	26	1	8	0	0	1	0	0	0	1	20	% HP bonus per level	0	?	0	min velocity increase	40	max velocity increase	0	?	0	?	Enhances golem's speed and hitpoints	more	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		512	8000
Raise Skeletal Mage	80	nec	0	0	1	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	1	1	0	0	0	0	none	0	12	0	0	0	0	Raise Skeleton			0	0	0	0	3	3	3	28	1	8	8	1	1	0	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	<---I took out the HP and AC params. Make sure they cast a higher level spell per level	more castable	1	1	0	1	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		512	8000
Confuse	81	nec	0	0	1	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	0	0	0	0	0	1	none	0	18	0	0	0	0	Dim Vision			0	0	0	0	1	4	1	30	1	8	13	0	1	0	0	0	0	6	radius	1	radius per level	250	duration	50	additional duration/level	0	?	0	?	CURSE monster chooses random target (friendly or not)	longer duration	1	0	0	0	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		640	16000
Life Tap	82	nec	0	0	1	4	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	0	0	0	0	0	1	none	0	18	0	0	0	0	Iron Maiden			0	0	0	0	1	4	2	32	1	8	9	0	1	0	0	0	0	4	radius	1	radius per level	400	duration	60	additional duration/level	50	% damage healed	0	% additional heal/level	CURSE target returns to attacker 10% damage it takes (heals attacker)	"longer duration, more returned"	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		640	16000
Poison Explosion	83	nec	0	0	1	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	1	1	0	0	0	1	none	0	18	0	0	0	0	Poison Dagger	Corpse Explosion		0	0	0	0	2	4	1	34	1	8	8	0	1	0	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	Corpse Explosion with poison	+1 range	1	1	0	0	*Check	?	0	0	4	0	0	0	0	0	0	pois	8	16	2	4	6	50	0	0	0		640	16000
Bone Spear	84	nec	0	0	1	6	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	0	none	0	18	0	0	0	0	Corpse Explosion			0	0	0	0	2	4	2	36	0	6	28	1	1	0	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	Fire bone missile	more damage	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0	mag	16	24	8	8	8	0	0	0	0		640	16000
BloodGolem	85	nec	0	0	1	5	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	0	0	0	0	0	0	none	0	18	0	0	0	0	Clay Golem			0	0	0	0	3	4	2	38	1	8	25	4	1	0	0	0	0	75	min % life stolen	150	max % life stolen	30	% stolen life xfer to caster	35	%additional golem damage per level	10	% damage on golem xfered to caster	25	% caster healing xfered to golem	"summons a golem from target corpse, it steals 5% life from targets"	better golem	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		640	16000
Attract	86	nec	0	0	1	0	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	1	0	0	0	0	1	none	0	24	0	0	0	0	Confuse			0	0	0	0	1	5	1	40	1	8	17	0	1	0	0	0	0	9	radius	0	radius per level	300	duration	90	additional duration/level	0	?	0	?	CURSE single target (not area) becomes all monster's (within radius) target of choice	"longer duration, bigger radius"	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		768	32000
Decrepify	87	nec	0	0	1	9	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	0	0	0	0	0	1	none	0	24	0	0	0	0	Terror			0	0	0	0	1	5	3	42	1	8	11	0	1	0	0	0	0	6	radius	0	radius per level	100	duration	15	additional duration/level	-50	"% slowed, -dam, -dam resist"	0	?	CURSE movement is slowed 50% and no run	longer duration	1	1	0	0	Mon in state can't run.	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		768	32000
Bone Prison	88	nec	0	0	1	10	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	1	0	0	0	0	1	none	0	24	0	0	0	0	Bone Wall	Bone Spear		0	0	0	0	2	5	3	44	1	8	27	-1	1	0	0	0	0	25	% additional HP per level	1200	MAX duration	0	?	0	?	0	?	0	?	creates bone wall in radius around target	"more HP, less mana"	1	1	0	0	*Check	art	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		768	32000
Summon Resist	89	nec	0	0	1	6	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	0	none	0	24	0	0	0	0	Golem Mastery			0	0	0	0	3	5	1	46	1	8	44	-3	1	0	0	0	1	20	min % resist	75	max % resist	0	?	0	?	0	?	0	?	"Summoned monsters resist cold, lightning, fire and poison"	more resistance	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		768	32000
IronGolem	90	nec	0	0	1	5	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	1	0	0	0	0	0	none	0	24	0	0	0	0	BloodGolem			0	0	0	0	3	5	2	48	1	8	35	0	1	0	0	0	0	150	% thorns damage back (level 2)	15	% thorns damage back per level	20	% damage bounced back vs player	2	% additional bounce back/level vs player	0	?	0	?	"summons a golem from a target item, acts as if it has that item equipped"	better golem	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		768	32000
Lower Resist	91	nec	0	0	1	8	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	0	0	0	0	0	1	none	0	30	0	0	0	0	Life Tap	Decrepify		0	0	0	0	1	6	2	50	1	8	22	0	1	0	0	0	0	7	radius	1	radius per level	500	duration	50	additional duration/level	25	min % resist lower	70	max % resist lower	CURSE lowers target resistances	"longer duration, more reduction"	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		896	64000
Poison Nova	92	nec	0	0	1	3	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	1	none	0	30	0	0	0	0	Poison Explosion			0	0	0	0	2	6	1	52	1	8	20	0	1	0	0	0	0	0	?	0	?	0	?	0	?	0	?	0	?	Nova with poison	like nova?	1	1	0	0	*Check	?	0	0	4	0	0	0	0	0	0	pois	14	25	4	5	8	50	0	0	0		896	64000
Bone Spirit	93	nec	0	0	1	7	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	0	0	1	none	0	30	0	0	0	0	Bone Spear			0	0	0	0	2	6	2	54	0	7	24	1	1	0	0	0	0	15	Search range	0	?	0	?	0	?	0	?	0	?	Fire a homing bone missile	more damage	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0	mag	20	30	16	17	18	0	0	0	0		896	64000
FireGolem	94	nec	0	0	1	6	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	0	0	0	0	0	0	none	0	30	0	0	0	0	IronGolem			0	0	0	0	3	6	2	56	1	8	50	10	1	0	0	0	0	25	min % fire absorbtion	100	max % fire absorbtion	0	% damage increase	25	% damage increase per level	8	Holy Fire Aura level	1	Plus Holy Fire Aura level	"summons a golem that takes negative fire damage (is healed), has fire hit"	better golem	1	0	0	0	AI	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		896	64000
Revive	95	nec	0	0	1	6	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	4	0	0	1	1	0	0	0	0	none	0	30	0	0	0	0	Raise Skeletal Mage	IronGolem		0	0	0	0	3	6	3	58	1	8	45	0	1	0	0	0	0	200	additional hp percent	0	?	4500	Duration	0	additional duration/level	20	Velocity bonus for revived	0	?	"revives target corpse as the monster it was (w/grey palette and undead), to fight for caster"	"less mana, additional HP"	1	1	0	0	*Check	?	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		896	64000
Sacrifice	96	pal	0	0	1	7	!bw	xxx	xxx	xxx	xxx	xxx	attack	seq	2	0	1	1	1	0	1	1	0	0	0	0	0	0	h2h	1	1	0	0	0	0				0	0	0	0	1	1	1	0	0	8	0	0	1	0	0	0	0	180	Percent damage	12	percent damage per level	8	percent damage to self	0	?	0	?	0	?	<----- Make sure it works for any melee attack	+20% damage	1	1	0	1	*Check	seq	20	5	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		256	1000
Smite	97	pal	0	0	1	9	*sd	xxx	xxx	xxx	xxx	xxx	sk1	seq	0	0	0	1	1	0	1	1	0	0	0	0	0	0	h2h	1	1	0	0	0	0				0	0	0	0	1	1	3	2	0	8	2	0	0	0	0	0	0	15	Stun Length	5	additional frames/level	15	Percent bonus damage	15	percent damage per level	0	?	0	?	"Attack with shield (dmg from items.xls), knock back, stuns for 12 frames"	adds 1 damage and 3 frame stun	1	1	0	1	*Check	seq	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		256	1000
Might	98	pal	0	0	1	9	xxx	xxx	xxx	xxx	xxx	xxx	aura	seq	0	1	0	1	0	0	0	0	0	0	0	0	0	0	none	0	1	0	0	0	0				0	0	0	0	2	1	1	4	1	8	0	0	1	1	1	0	0	11	radius	2	additional radius per level	40	% additional damage	10	% additional damage/level	0	?	0	?	aura adds 10% damage - PARTY - also add a flat +1 min/max damage	additional radius/effect	1	1	0	1	*Check	overlayH	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		256	1000
Prayer	99	pal	0	0	1	7	xxx	xxx	xxx	xxx	xxx	xxx	aura	seq	0	1	0	1	0	0	0	0	0	0	0	0	0	0	none	0	1	0	0	0	0				0	0	0	0	3	1	1	6	1	4	16	3	1	1	1	0	0	11	radius	2	additional radius per level	2	hp regen every 2 seconds	1	additional hp regen/level	0	?	0	?	"aura regens HP - PARTY changed to constant rate, not %"	additional radius/effect	1	1	0	1	*Check	"overlayH, overlayR"	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		256	1000
Resist Fire	100	pal	0	0	1	8	xxx	xxx	xxx	xxx	xxx	xxx	aura	seq	0	1	0	1	0	0	0	0	0	0	0	0	0	0	none	0	1	0	0	0	0				0	0	0	0	3	1	3	8	1	8	0	0	1	1	1	0	0	11	radius	2	additional radius per level	35	min % resist	150	max % resist	0	?	0	?	aura - PARTY (maybe we should make a curve that approaches 90%)	additional radius/effect	1	1	0	1	*Check	"overlayA, auraR"	0	0	8	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		256	1000
Holy Bolt	101	pal	0	0	1	7	xxx	xxx	xxx	xxx	xxx	xxx	cast	seq	0	0	0	1	0	0	0	0	0	0	0	1	1	1	none	0	6	0	0	0	0				0	0	0	0	1	2	2	10	0	6	16	1	1	0	0	0	0	1	min hitpoints healed	2	hitpoints healed per level	6	max hitpoints healed	2	hitpoints healed per level	0	?	0	?	bolt hits undead only for 4-8 damage	+2 damage	1	1	0	1	*Check	"overlayU, Holy Boly missile"	0	0	8	0	0	0	0	0	0	mag	8	16	6	6	6	0	0	0	0		384	3000
